agent_id,category_count,category,expertise,capacity,privacy_budget
0,6,6 0 4 7 5 2,0.58 0.48 0.41 0.49 0.37 0.48,3,19.097
1,6,0 4 1 3 7 2,0.38 0.44 0.66 0.44 0.6 0.62,5,24.694
2,2,3 7,0.32 0.39,7,26.612
3,2,5 1,0.52 0.66,7,28.83
4,6,6 1 5 2 3 7,0.42 0.35 0.49 0.49 0.45 0.52,9,37.047
5,5,3 6 7 0 2,0.44 0.46 0.59 0.57 0.52,3,17.458
6,6,3 5 0 4 6 2,0.69 0.35 0.49 0.47 0.62 0.79,3,16.956
7,3,6 5 3,0.37 0.47 0.48,5,22.092
8,4,4 6 2 1,0.39 0.46 0.47 0.43,9,36.108
9,6,0 3 5 7 6 4,0.71 0.52 0.49 0.57 0.41 0.51,3,16.407
10,2,5 1,0.51 0.54,8,32.414
11,6,4 2 0 3 7 1,0.4 0.21 0.38 0.67 0.51 0.55,9,37.476
12,6,2 1 0 5 4 3,0.49 0.44 0.58 0.52 0.4 0.38,9,37.53
13,4,1 4 7 2,0.51 0.29 0.41 0.29,6,26.713
14,4,3 2 4 0,0.52 0.51 0.58 0.73,7,27.974
15,2,7 1,0.57 0.63,6,23.175
16,4,3 1 0 4,0.46 0.5 0.52 0.44,7,30.519
17,4,6 7 0 2,0.57 0.55 0.55 0.7,4,19.142
18,2,4 7,0.41 0.44,9,32.893
19,3,3 0 1,0.5 0.51 0.68,5,22.26
