agent_id,category_count,category,expertise
0,7,7 5 2 1 0 3 6,0.6 0.6 0.64 0.44 0.49 0.44 0.4
1,4,0 7 4 3,0.52 0.44 0.47 0.52
2,3,2 6 7,0.59 0.57 0.39
3,5,0 6 7 3 1,0.43 0.61 0.61 0.53 0.46
4,3,5 6 3,0.5 0.52 0.39
5,7,3 2 7 5 6 0 1,0.31 0.6 0.54 0.4 0.48 0.44 0.57
6,7,1 5 7 6 3 0 2,0.41 0.42 0.61 0.3 0.2 0.37 0.61
7,7,1 2 0 5 4 6 3,0.39 0.62 0.64 0.6 0.64 0.54 0.54
8,5,0 4 7 5 3,0.41 0.45 0.44 0.46 0.71
9,4,7 2 5 1,0.56 0.42 0.6 0.44
10,5,4 3 7 1 0,0.76 0.56 0.39 0.45 0.46
11,7,2 3 4 0 5 7 1,0.3 0.48 0.46 0.42 0.37 0.56 0.61
12,7,4 1 2 7 6 5 0,0.45 0.32 0.43 0.58 0.64 0.41 0.45
13,4,6 1 7 3,0.43 0.55 0.37 0.61
14,4,0 3 4 5,0.53 0.34 0.54 0.7
15,3,3 1 0,0.22 0.46 0.5
16,7,7 2 0 5 6 4 3,0.39 0.48 0.41 0.28 0.51 0.56 0.25
17,6,2 4 0 5 1 6,0.39 0.49 0.64 0.4 0.48 0.44
18,5,7 0 6 2 1,0.4 0.63 0.4 0.35 0.56
19,4,6 7 5 2,0.57 0.6 0.59 0.42
20,4,6 4 7 0,0.48 0.5 0.4 0.59
21,6,0 5 1 6 4 3,0.56 0.69 0.33 0.38 0.5 0.33
22,5,2 3 6 1 4,0.6 0.4 0.57 0.37 0.53
23,5,7 6 0 2 5,0.51 0.63 0.46 0.58 0.57
24,7,2 6 1 7 5 3 4,0.47 0.56 0.56 0.72 0.42 0.68 0.54
25,7,6 5 1 3 7 2 0,0.59 0.56 0.49 0.57 0.64 0.55 0.4
26,6,0 1 7 6 4 3,0.43 0.46 0.57 0.38 0.5 0.6
27,6,6 2 0 7 4 1,0.51 0.59 0.5 0.56 0.61 0.5
28,3,5 2 3,0.63 0.33 0.47
29,7,6 4 5 7 1 2 0,0.42 0.52 0.58 0.58 0.41 0.4 0.45
30,4,7 2 0 6,0.45 0.36 0.5 0.45
31,6,2 6 7 4 5 0,0.52 0.7 0.62 0.33 0.4 0.47
32,7,0 2 3 1 5 7 4,0.53 0.53 0.4 0.52 0.43 0.44 0.37
33,4,7 4 2 6,0.33 0.53 0.55 0.64
34,4,1 3 7 0,0.51 0.49 0.46 0.55
35,7,5 6 0 1 2 7 3,0.55 0.58 0.51 0.54 0.55 0.38 0.41
36,5,4 0 5 7 3,0.52 0.51 0.48 0.76 0.56
37,6,4 1 2 0 7 3,0.64 0.45 0.45 0.57 0.56 0.5
38,5,3 5 4 2 1,0.73 0.45 0.6 0.47 0.49
39,3,1 0 6,0.51 0.6 0.61
40,4,3 6 4 1,0.48 0.42 0.6 0.78
41,4,4 6 3 0,0.5 0.54 0.6 0.63
42,5,0 4 1 3 2,0.42 0.41 0.53 0.52 0.59
43,5,3 1 0 6 7,0.32 0.3 0.59 0.55 0.42
44,3,3 0 5,0.52 0.57 0.47
